iter	Passed	Remaining
0	134	134197
1	135	67560
2	136	45300
3	137	34163
4	138	27476
5	138	23017
6	140	19865
7	141	17516
8	144	15906
9	146	14457
10	146	13211
11	147	12169
12	148	11295
13	149	10562
14	151	9947
15	152	9387
16	153	8877
17	154	8423
18	155	8023
19	156	7663
20	157	7334
21	158	7033
22	159	6756
23	159	6503
24	160	6274
25	161	6060
26	162	5860
27	163	5673
28	164	5498
29	165	5342
30	166	5193
31	167	5053
32	167	4920
33	168	4798
34	169	4683
35	170	4576
36	171	4471
37	172	4371
38	173	4280
39	174	4191
40	175	4106
41	176	4027
42	177	3950
43	178	3876
44	179	3805
45	180	3740
46	181	3676
47	182	3622
48	184	3574
49	185	3525
50	186	3471
51	187	3418
52	188	3368
53	189	3322
54	190	3276
55	191	3231
56	192	3188
57	193	3143
58	194	3100
59	195	3058
60	196	3023
61	197	2985
62	198	2949
63	199	2914
64	200	2881
65	201	2847
66	202	2815
67	202	2782
68	203	2750
69	204	2718
70	205	2687
71	206	2661
72	207	2633
73	208	2606
74	209	2580
75	210	2559
76	211	2535
77	212	2511
78	213	2487
79	214	2463
80	215	2440
81	215	2417
82	216	2391
83	217	2369
84	218	2349
85	219	2328
86	219	2307
87	220	2287
88	221	2267
89	222	2248
90	223	2230
91	224	2212
92	224	2193
93	225	2176
94	226	2161
95	227	2145
96	228	2128
97	229	2112
98	230	2095
99	231	2080
100	231	2064
101	232	2049
102	233	2035
103	234	2023
104	235	2010
105	236	1996
106	237	1983
107	238	1971
108	239	1958
109	240	1946
110	241	1933
111	242	1919
112	243	1907
113	243	1895
114	244	1882
115	245	1870
116	246	1857
117	246	1846
118	247	1834
119	248	1823
120	249	1812
121	250	1800
122	250	1789
123	251	1779
124	252	1769
125	253	1760
126	254	1749
127	255	1739
128	256	1730
129	257	1720
130	257	1710
131	258	1701
132	259	1691
133	260	1682
134	261	1674
135	262	1665
136	263	1657
137	263	1648
138	264	1640
139	265	1633
140	266	1625
141	267	1615
142	268	1607
143	269	1601
144	270	1594
145	271	1587
146	272	1579
147	273	1571
148	273	1563
149	274	1556
150	275	1549
151	276	1542
152	277	1535
153	278	1527
154	279	1521
155	280	1515
156	280	1508
157	281	1501
158	282	1494
159	283	1487
160	283	1479
161	284	1472
162	285	1465
163	286	1459
164	287	1453
165	288	1447
166	288	1440
167	289	1434
168	290	1428
169	291	1422
170	292	1417
171	293	1411
172	293	1405
173	294	1399
174	295	1394
175	296	1388
176	297	1382
177	298	1377
178	299	1371
179	299	1365
180	300	1360
181	301	1355
182	302	1349
183	303	1344
184	304	1339
185	304	1334
186	306	1330
187	307	1326
188	308	1322
189	309	1318
190	310	1313
191	311	1308
192	311	1304
193	312	1299
194	313	1295
195	314	1290
196	315	1285
197	316	1280
198	317	1276
199	317	1271
200	318	1267
201	319	1262
202	320	1258
203	321	1254
204	322	1251
205	323	1247
206	324	1243
207	325	1239
208	326	1234
209	327	1230
210	327	1226
211	328	1221
212	329	1217
213	330	1213
214	331	1209
215	331	1204
216	332	1200
217	333	1197
218	334	1193
219	335	1189
220	336	1185
221	337	1181
222	337	1176
223	338	1173
224	339	1169
225	340	1165
226	341	1161
227	341	1157
228	342	1153
229	343	1150
230	344	1146
231	345	1142
232	346	1139
233	347	1136
234	348	1133
235	349	1130
236	349	1126
237	350	1123
238	351	1119
239	352	1116
240	353	1112
241	354	1109
242	355	1105
243	355	1102
244	356	1099
245	357	1095
246	358	1092
247	359	1089
248	360	1086
249	361	1084
250	362	1080
251	363	1077
252	363	1074
253	364	1071
254	366	1071
255	367	1069
256	368	1066
257	369	1064
258	370	1061
259	372	1059
260	373	1056
261	374	1054
262	375	1051
263	376	1048
264	377	1045
265	377	1042
266	378	1040
267	379	1037
268	380	1034
269	381	1032
270	382	1029
271	383	1026
272	384	1024
273	385	1021
274	386	1018
275	387	1015
276	387	1012
277	388	1009
278	389	1006
279	390	1004
280	391	1001
281	392	998
282	392	995
283	393	992
284	394	989
285	395	986
286	396	984
287	396	981
288	397	978
289	398	976
290	399	973
291	400	970
292	401	968
293	402	965
294	402	962
295	403	960
296	404	957
297	405	954
298	406	952
299	407	949
300	408	947
301	409	945
302	410	943
303	411	941
304	411	938
305	413	937
306	414	934
307	414	932
308	415	930
309	416	927
310	417	924
311	418	922
312	419	919
313	419	917
314	420	915
315	421	912
316	422	910
317	423	907
318	424	905
319	424	902
320	425	900
321	426	898
322	427	895
323	428	893
324	428	890
325	429	888
326	430	886
327	431	883
328	432	881
329	433	879
330	433	877
331	434	874
332	435	872
333	436	870
334	437	868
335	438	865
336	439	863
337	439	861
338	440	859
339	441	857
340	442	855
341	443	853
342	444	851
343	445	849
344	446	847
345	447	844
346	447	842
347	448	840
348	449	838
349	450	836
